player,elo_hard,elo_clay,elo_grass,elo
Medvedev D.,1781.1918815444224,1745.8086368872496,1717.3762949720042,1748.1256044678921
Bester P.,1455.7583276029386,1500.0,1500.0,1485.252775867646
Fanselow S.,1500.0,1486.2551825738435,1500.0,1495.4183941912813
Mazarakis V.,1482.6520630115483,1471.1507666096413,1500.0,1484.6009432070632
Cilic M.,1668.5403562175165,1661.2041848272918,1791.2548302556845,1706.9997904334975
Ito T.,1425.4465693653851,1479.7852488908786,1493.0644463895114,1466.098754881925
Wessels P.,1439.1123962533989,1470.9213680993448,1538.6480257866704,1482.8939300464715
Majchrzak K.,1545.1472799816556,1476.2459240446658,1527.5266004852826,1516.3066015038683
Mo Y.,1492.6784126745097,1500.0,1500.0,1497.5594708915032
Trifu G.,1500.0,1474.203297191769,1485.919041474742,1486.7074462221701
Nam J.S.,1461.5320128150697,1500.0,1500.0,1487.1773376050232
Li Zh.,1484.3679019839942,1500.0,1500.0,1494.7893006613315
Bopanna R.,1416.136742807638,1500.0,1481.7619321957975,1465.9662250011452
Munoz-De La Nava D.,1490.5624619874766,1447.0360172466999,1500.0,1479.199493078059
Langer N.,1486.3138918806835,1508.3937200349235,1500.0,1498.2358706385357
Haase R.,1548.8739804370634,1501.9157166198486,1519.012389693956,1523.2673622502891
Squillari F.,1511.34937739606,1548.8494576005296,1453.1381015553077,1504.4456455172992
Monday J.,1500.0,1500.0,1491.0037857184182,1497.0012619061392
Vik R.,1468.8199984997107,1496.5300517581943,1461.9718143766588,1475.773954878188
Clarke J.,1482.8645510426693,1500.0,1402.0492530480335,1461.6379346969009
Horna L.,1451.654093092761,1572.9801399456617,1417.0029798603368,1480.5457376329198
Korteling S.,1500.0,1489.4239511403898,1500.0,1496.47465038013
Tsonga J.W. ,1484.0,1500.0,1500.0,1494.6666666666667
van der Meer N.,1500.0,1489.6094599169512,1500.0,1496.5364866389837
Nishikori K.,1683.5279900074172,1740.6086848061689,1646.321289938707,1690.1526549174312
Lazarov A.,1447.2648429859546,1500.0,1500.0,1482.4216143286515
Golovanov D.,1489.3251275519685,1500.0,1482.9196202093458,1490.7482492537717
Ferrero J.C. ,1484.0,1500.0,1500.0,1494.6666666666667
Rettenmaier T.,1501.8964989148972,1500.0,1502.4693060871275,1501.4552683340082
Trusendi W.,1500.0,1480.9851252823833,1500.0,1493.661708427461
Arazi H.,1547.4516593239377,1424.8076525359813,1543.8466181880158,1505.3686433493115
Ivanov-Smolensky K.,1483.6685223386617,1500.0,1484.0,1489.2228407795537
Pacheco Mendez R.,1459.243034820727,1500.0,1500.0,1486.4143449402425
Roger-Vasselin E.,1574.726931343494,1466.3731232329933,1508.4422663368098,1516.514106971099
Syed F.,1484.0,1500.0,1500.0,1494.6666666666667
Kicker N.,1487.7963794158654,1492.8462855831795,1488.6799362163022,1489.7742004051158
Moutet C.,1619.95867852646,1527.775383509581,1568.876735863253,1572.2035992997646
Guinard M.,1498.1663036016712,1498.8606435324834,1500.0,1499.0089823780515
Olivetti A.,1523.5287232948203,1485.7253234642724,1467.8818374702741,1492.3786280764555
Harrison C.,1511.6820151182276,1488.069706455018,1493.8089999829044,1497.8535738520502
Gutierrez-Ferrol S.,1500.0,1504.0080945500608,1500.0,1501.3360315166872
Tarango J.,1413.8303177751543,1500.0,1484.0353978912692,1465.9552385554744
Djuric B.,1482.6316352129195,1500.0,1500.0,1494.2105450709732
Zhang Zh.,1491.9294427420132,1627.752398087473,1501.745768826464,1540.4758698853166
Herbert P.,1498.0292346940155,1470.9752499261135,1501.6559640380408,1490.2201495527233
Kontinen H.,1482.1967893261783,1500.0,1503.3461792472026,1495.1809895244603
Ramos-Vinolas A.,1431.0184019560693,1518.9138250130304,1401.4317633447738,1450.4546634379578
Alvarez E.,1469.2927097756592,1456.7759822157477,1500.0,1475.3562306638023
Do M.Q.,1483.5725982515532,1500.0,1500.0,1494.5241994171845
Mensik J.,1787.1735894487829,1599.5939702186913,1513.7014017748218,1633.4896538140986
Ascione A.,1501.5256457698486,1500.0,1500.0,1500.5085485899497
Rune H.,1810.8682802766602,1770.9543702255494,1573.2340459019651,1718.3522321347248
Silva F.,1500.0,1475.6365648583474,1500.0,1491.8788549527824
Prinosil D.,1386.4800189632017,1438.2777768840838,1474.6732990364812,1433.1436982945888
Koellerer D.,1502.6665951929044,1475.5458826844042,1434.4937488271196,1470.902075568143
Yevseyev D.,1476.3170232009172,1506.7725386262591,1500.0,1494.3631872757253
Schiessling T.,1500.0,1481.4318423605944,1500.0,1493.8106141201981
Balleret B.,1497.2994423224004,1482.1278787630094,1500.0,1493.1424403618032
Molleker R.,1492.0887064822598,1474.1739089717757,1465.062795208203,1477.1084702207463
Hoang A.,1446.454054065917,1515.477999288138,1501.7338082412566,1487.8886205317704
Koenig R.,1481.695240422174,1500.0,1500.0,1493.8984134740579
Sorensen L.,1475.314039117208,1503.6388133559876,1500.0,1492.984284157732
Davydenko P.,1487.4665821608542,1507.6015909135447,1500.0,1498.3560576914663
Massa E.,1492.919029963054,1465.6195776226668,1482.5701730556275,1480.3695935471162
Baldi F.,1500.0,1464.424539374849,1500.0,1488.1415131249496
Agassi A.,1811.2883281687743,1672.4834540015718,1579.1518411992975,1687.6412077898813
Ancic M.,1736.8980386785488,1655.3957375014354,1748.580030211403,1713.6246021304623
Verdasco F.,1500.9169048288682,1525.1346576952258,1544.7988858211734,1523.616816115089
Paes L.,1439.8859459150065,1500.0,1501.3491616301774,1480.411702515061
Topic J.,1500.0,1491.362196504802,1500.0,1497.1207321682675
Lopez-Jaen M.A.,1500.0,1507.156671462198,1500.0,1502.385557154066
Federer R.,2052.5218349340253,1898.0741276356355,1957.5581814131206,1969.384714660927
Montcourt M.,1465.8160093604909,1515.0272240023871,1500.0,1493.6144111209594
Zeballos H.,1526.5944903573236,1575.3649631836042,1394.9818590382606,1498.9804375263964
Marcora R.,1511.504322249332,1480.9919239785695,1500.0,1497.498748742634
Mejia N.,1455.438125248347,1500.0,1500.0,1485.146041749449
Slanar M.,1490.7441359179227,1500.0,1500.0,1496.914711972641
Kuzmanov D.,1420.6229533740643,1533.2131007334888,1500.0,1484.612018035851
Wachiramanowong K.,1473.9309009080632,1500.0,1500.0,1491.310300302688
Mertinak M.,1500.0,1462.976288548589,1478.464869565694,1480.4803860380944
Novikov D.,1457.2585422725176,1500.0,1486.8934032600228,1481.3839818441802
Moraru G.,1500.0,1472.4624942287883,1500.0,1490.8208314095962
Satral J.,1511.4104637093142,1493.8509489469336,1500.0,1501.753804218749
Granollers Pujol G.,1500.0,1487.952936868378,1500.0,1495.9843122894592
Cowan B.,1484.0253311362444,1500.0,1487.3230864796858,1490.4494725386432
Hussey G.,1500.0,1500.0,1498.462294305181,1499.4874314350602
Widom T.,1526.310615902495,1500.0,1500.0,1508.7702053008318
Mathieu P.H.,1448.737379944674,1541.551173510289,1491.9515028542785,1494.080018769747
Monteiro T.,1449.4044906079725,1556.2139124075645,1442.9768773169178,1482.8650934441519
Fonseca J.,1568.0081113708889,1599.3484570536095,1503.080236079929,1556.8122681681425
Moroni G.M.,1480.0755750840763,1484.1562554220657,1500.0,1488.0772768353806
Ghedin R.,1484.6993422526555,1500.0,1472.1477515689637,1485.6156979405398
Lestienne C.,1447.4507274563782,1426.417974468668,1425.8670749299204,1433.2452589516554
Zib T.,1392.7939443108653,1432.798814095951,1472.590226223248,1432.7276615433548
Simoni A.,1434.142533825846,1490.7741842592552,1455.3425260225658,1460.0864147025557
Hadad A.,1505.0730634920446,1501.557271418437,1500.0,1502.2101116368274
Gamonal H.,1481.3366529119728,1481.5122589167765,1500.0,1487.6163039429164
Henry R.,1480.4087963178038,1500.0,1500.0,1493.469598772601
Blanch U.,1486.0929998811132,1500.0,1500.0,1495.3643332937045
Lajovic D.,1547.182672235639,1534.502540127379,1411.406127108896,1497.6971131573046
Rola B.,1468.463075184218,1501.0204013297898,1454.6014548530163,1474.6949771223415
Coutelot N.,1481.9575072088246,1507.9012067681547,1471.085961907451,1486.9815586281436
Schukin Y.,1414.8508076037215,1563.3872202762325,1500.0,1492.746009293318
Shevchenko A.,1537.7115494910977,1545.241488594008,1460.7504385130835,1514.5678255327296
Suzuki T.,1566.466755667351,1500.0,1485.234647333891,1517.2338010004141
Philippoussis M.,1480.4026286543444,1502.4759309215106,1680.9163857132407,1554.598315096365
Roca Batalla O.,1500.0,1494.819003041319,1500.0,1498.273001013773
Borvanov R.,1485.2865537040443,1500.0,1500.0,1495.095517901348
Trevisan M.,1500.0,1483.647882306791,1500.0,1494.5492941022637
Goellner M.K.,1508.0407348264462,1442.0539639387002,1500.0,1483.364899588382
Garcia-Sintes J.,1500.0,1487.2978951393277,1500.0,1495.7659650464427
Boyer T.,1523.6807442844995,1457.6200991401258,1500.0,1493.7669478082087
Amritraj P.,1380.4810498083143,1500.0,1549.4474766301214,1476.6428421461453
Prizmic D.,1488.001805776784,1517.2003071733843,1500.0,1501.734037650056
Royer V.,1498.3927842675294,1481.2480780201813,1507.4341105179562,1495.6916576018891
Chen T.,1467.4992481621123,1500.0,1500.0,1489.1664160540374
Enqvist T.,1528.9656407736081,1451.427344648857,1496.8990329981275,1492.430672806864
Cakl T.,1430.6374216727193,1498.992744441293,1500.0,1476.5433887046709
Carlsen K.,1544.893295668818,1373.3550519683167,1470.4093702132454,1462.8859059501265
Millman J.,1574.342507902277,1499.2554300949785,1500.3259507452224,1524.6412962474926
Gonzalez M.,1416.942068292755,1452.3637482933734,1450.505812528483,1439.9372097048706
Sela D.,1540.5767107074646,1362.9110516594694,1574.060715234326,1492.51615920042
