match,player1,player2,surface,elo1,elo2,prob_elo,prob_cotes,value,cote_pinnacle,tournament,date,strategie,mise_kelly,resultat,profit,capital,starts
Carballes Baena R. vs Ugo Carabelli C.,Carballes Baena R.,Ugo Carabelli C.,Hard,1537,1503,54.7,49.8,5.0,1.952,ATP Toronto - R1,2025-07-28,A_seuil_5pct,3.56,A,0.0,200.0,2025-07-28T14:00:00
Schoolkate T. vs Fonseca J.,Schoolkate T.,Fonseca J.,Hard,1500,1515,47.9,22.6,25.2,4.29,ATP Toronto - R1,2025-07-28,A_seuil_5pct,16.03,G,52.74,252.74,2025-07-28T14:00:00
Martin D. vs Munar J.,Martin D.,Munar J.,Hard,1500,1500,50.0,3.6,46.4,27.56,ATP Toronto - R1,2025-07-28,A_seuil_5pct,24.06,P,-24.06,228.68,2025-07-28T16:30:00
Watanuki Y. vs Altmaier D.,Watanuki Y.,Altmaier D.,Hard,1461,1482,47.0,39.6,7.4,2.44,ATP Toronto - R1,2025-07-28,A_seuil_5pct,5.1,G,7.34,236.02,2025-07-28T17:00:00
Muller A. vs Kecmanovic M.,Muller A.,Kecmanovic M.,Hard,1500,1470,54.3,36.7,17.7,2.65,ATP Toronto - R2,2025-07-29,A_seuil_5pct,13.3,G,21.95,257.97,2025-07-29T16:30:00
Moutet C. vs Brooksby J.,Moutet C.,Brooksby J.,Hard,1587,1476,65.4,54.0,11.4,1.8,ATP Toronto - R1,2025-07-29,A_seuil_5pct,11.08,G,8.86,266.83,2025-07-29T18:30:00
Arseneault N. vs Popyrin A.,Arseneault N.,Popyrin A.,Hard,1590,1375,77.5,9.3,68.2,10.51,ATP Toronto - R2,2025-07-29,A_seuil_5pct,37.57,P,-37.57,229.26,2025-07-29T19:00:00
Munar J. vs Cerundolo F.,Munar J.,Cerundolo F.,Hard,1560,1478,61.5,48.3,13.2,2.01,ATP Toronto - R2,2025-07-29,A_seuil_5pct,13.8,P,-13.8,215.46,2025-07-29T20:30:00
Safiullin R. vs Ruud C.,Safiullin R.,Ruud C.,Hard,1948,1512,92.5,32.5,60.0,2.99,ATP Toronto - R2,2025-07-29,A_seuil_5pct,40.0,P,-40.0,175.46,2025-07-29T21:00:00
Opelka R. vs Machac T.,Opelka R.,Machac T.,Hard,1684,1558,67.4,41.1,26.2,2.36,ATP Toronto - R2,2025-07-29,A_seuil_5pct,21.71,G,29.53,204.99,2025-07-29T22:30:00
